Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
2020-21,2020-09-12T12:30:00Z,Fulham,Arsenal,0,3,A,0,1,A,C Kavanagh,5,13,2,6,2,3,12,12,2,2,0,0
2020-21,2020-09-12T15:00:00Z,Crystal Palace,Southampton,1,0,H,1,0,H,J Moss,5,9,3,5,7,3,14,11,2,1,0,0
2020-21,2020-09-12T17:30:00Z,Liverpool,Leeds,4,3,H,3,2,H,M Oliver,22,6,6,3,9,0,9,6,1,0,0,0
2020-21,2020-09-12T20:00:00Z,West Ham,Newcastle,0,2,A,0,0,D,S Attwell,15,15,3,2,8,7,13,7,2,2,0,0
2020-21,2020-09-13T14:00:00Z,West Brom,Leicester,0,3,A,0,0,D,A Taylor,7,13,1,7,2,5,12,9,1,1,0,0
2020-21,2020-09-13T16:30:00Z,Tottenham,Everton,0,1,A,0,0,D,M Atkinson,9,15,5,4,5,3,15,7,1,0,0,0
2020-21,2020-09-14T20:15:00Z,Brighton,Chelsea,1,3,A,0,1,A,C Pawson,13,10,3,5,4,3,8,13,1,0,0,0
2020-21,2020-09-14T18:00:00Z,Sheffield United,Wolves,0,2,A,0,2,A,M Dean,9,11,2,4,12,5,13,7,2,1,0,0
2020-21,2020-09-19T12:30:00Z,Everton,West Brom,5,2,H,2,1,H,M Dean,17,6,7,4,11,1,9,11,1,0,0,1
2020-21,2020-09-19T15:00:00Z,Leeds,Fulham,4,3,H,2,1,H,A Taylor,10,14,7,6,5,3,13,18,1,2,0,0
2020-21,2020-09-19T17:30:00Z,Man United,Crystal Palace,1,3,A,0,1,A,M Atkinson,13,14,4,5,9,3,13,10,2,1,0,0
2020-21,2020-09-19T20:00:00Z,Arsenal,West Ham,2,1,H,1,1,D,M Oliver,7,14,3,3,7,5,11,13,0,1,0,0
2020-21,2020-09-20T12:00:00Z,Southampton,Tottenham,2,5,A,1,1,D,D Coote,14,9,7,6,3,2,16,18,4,3,0,0
2020-21,2020-09-20T14:00:00Z,Newcastle,Brighton,0,3,A,0,2,A,K Friend,6,13,0,6,7,1,16,15,3,0,0,1
2020-21,2020-09-20T16:30:00Z,Chelsea,Liverpool,0,2,A,0,0,D,P Tierney,5,18,3,6,1,11,10,6,0,0,1,0
2020-21,2020-09-20T19:00:00Z,Leicester,Burnley,4,2,H,1,1,D,L Mason,14,16,6,5,15,4,11,13,1,2,0,0
